state=0, x=51, y=14
state=1, x=51, y=14
state=0, x=100, y=30
state=1, x=100, y=30
state=0, x=52, y=66
state=1, x=52, y=66
state=0, x=16, y=43
state=1, x=16, y=43
state=0, x=44, y=53
state=1, x=44, y=53
state=0, x=44, y=53
state=1, x=44, y=53
state=0, x=86, y=54
state=1, x=86, y=54
state=0, x=98, y=46
state=1, x=98, y=46
state=0, x=93, y=61
state=1, x=93, y=61
state=0, x=131, y=65
state=1, x=136, y=66
state=0, x=136, y=66
state=1, x=138, y=67
state=0, x=141, y=67
state=1, x=141, y=67
state=0, x=141, y=67
state=1, x=141, y=67
state=0, x=100, y=93
state=1, x=100, y=93
state=0, x=102, y=81
state=1, x=103, y=81
state=0, x=138, y=74
state=1, x=138, y=74
state=0, x=89, y=96
state=1, x=87, y=97
state=0, x=160, y=83
state=1, x=161, y=83
state=0, x=98, y=101
state=1, x=98, y=101
state=0, x=24, y=120
state=1, x=22, y=120
state=0, x=60, y=75
state=1, x=59, y=75
state=0, x=102, y=75
state=1, x=102, y=75
state=0, x=99, y=31
state=1, x=99, y=31
state=0, x=48, y=69
state=1, x=48, y=69
state=0, x=49, y=66
state=1, x=49, y=66
state=0, x=54, y=82
state=1, x=54, y=83
state=0, x=63, y=63
state=1, x=63, y=63
state=0, x=102, y=48
state=1, x=102, y=48
state=0, x=71, y=59
state=1, x=71, y=59
state=0, x=13, y=44
state=1, x=13, y=43
state=0, x=37, y=19
state=1, x=37, y=19
state=0, x=45, y=33
state=1, x=45, y=33
state=0, x=96, y=37
state=1, x=96, y=37
state=0, x=50, y=23
state=1, x=50, y=23
state=0, x=46, y=35
state=1, x=46, y=35
state=0, x=46, y=35
state=1, x=46, y=35
state=0, x=46, y=50
state=1, x=46, y=50
state=0, x=52, y=69
state=1, x=52, y=70
state=0, x=54, y=39
state=1, x=54, y=39
state=0, x=51, y=79
state=1, x=51, y=79
state=0, x=52, y=40
state=1, x=52, y=40
state=0, x=54, y=73
state=1, x=54, y=73
state=0, x=54, y=43
state=1, x=54, y=43
state=0, x=54, y=73
state=1, x=54, y=72
state=0, x=54, y=41
state=1, x=54, y=41
state=0, x=54, y=73
state=1, x=54, y=72
state=0, x=54, y=34
state=1, x=54, y=34
state=0, x=58, y=78
state=1, x=58, y=77
state=0, x=59, y=39
state=1, x=59, y=39
state=0, x=103, y=36
state=1, x=103, y=36
state=0, x=22, y=37
state=1, x=22, y=37
state=0, x=47, y=38
state=1, x=47, y=38
state=0, x=53, y=17
state=1, x=53, y=17
state=0, x=54, y=38
state=1, x=54, y=39
state=0, x=51, y=69
state=1, x=51, y=70
state=0, x=179, y=62
state=1, x=180, y=62
